data_type,collector,purpose
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, services"
UNSPECIFIED_DATA,sponsor of event,
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services"
advertising id,we,"advertising, analytics, legal, security, services"
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, legal, security, services"
amount of time you spend on page,we,"advertising, analytics, legal, security, services"
cookie / pixel tag,we,"advertising, analytics, legal, security, services"
crash log,we,"advertising, analytics, legal, security, services"
date,we,"advertising, analytics, legal, security, services"
datum we collect,we,"advertising, analytics, legal, security, services"
datum we collect through interaction with you,we,"advertising, analytics, legal, security, services"
device identifier,we,"advertising, analytics, legal, security, services"
device information include,we,"advertising, analytics, legal, security, services"
domain name,we,"advertising, analytics, legal, security, services"
geolocation,we,"advertising, analytics, legal, security, services"
imei,we,"advertising, analytics, legal, security, services"
information about,we,"advertising, analytics, legal, security, services"
information about link you click,we,"advertising, analytics, legal, security, services"
information about you,we,"advertising, analytics, legal, security, services"
information enable we,we,"advertising, analytics, legal, security, services"
information you provide on,operator,
information you provide on,we,"advertising, analytics, legal, security, services"
internet activity,UNSPECIFIED_ACTOR,"advertising, services, analytics"
internet activity,we,"advertising, analytics, legal, security, services"
ip address,we,"advertising, analytics, legal, security, services"
mac address,we,"advertising, analytics, legal, security, services"
mobile carrier,we,"advertising, analytics, legal, security, services"
performance information,we,"advertising, analytics, legal, security, services"
preference,we,"advertising, analytics, legal, security, services"
sensitive personal information,we,"advertising, analytics, legal, security, services"
source from we collect it,we,"advertising, analytics, legal, security, services"
specific information,we,"advertising, analytics, legal, security, services"
telephone,we,"advertising, analytics, legal, security, services"
url,we,"advertising, analytics, legal, security, services"
