data_type,collector,purpose
UNSPECIFIED_DATA,ad exchange,
UNSPECIFIED_DATA,analytic provider,
UNSPECIFIED_DATA,service provider,services
UNSPECIFIED_DATA,social media,
UNSPECIFIED_DATA,we,"advertising, legal, security, services"
account information,we,"advertising, legal, security, services"
aggregate / deidentified / pseudonymized information,we,"advertising, legal, security, services"
auditor,professional advisor,
banker,professional advisor,
browser type,ad exchange,
browser type,analytic provider,
browser type,social media,
cookie / pixel tag,Google,
cookie / pixel tag,Impact,analytics
cookie / pixel tag,ad exchange,
cookie / pixel tag,analytic provider,
cookie / pixel tag,service use,analytics
cookie / pixel tag,social media,
datum about you,we,"advertising, legal, security, services"
detail about engagement with they,we,"advertising, legal, security, services"
email address,we,"advertising, legal, security, services"
government identification,we,"advertising, legal, security, services"
identity,ad exchange,
identity,analytic provider,
identity,social media,
information we collect through service,we,"advertising, legal, security, services"
information we request,we,"advertising, legal, security, services"
insurer,professional advisor,
lawyer,professional advisor,
person name,we,"advertising, legal, security, services"
personal information,UNSPECIFIED_ACTOR,
personal information,current affiliate company,
personal information,professional advisor,
personal information,service provider,services
personal information,we,"advertising, legal, security, services"
postal address,we,"advertising, legal, security, services"
preference for,we,"advertising, legal, security, services"
profile datum,we,"advertising, legal, security, services"
time,ad exchange,
time,analytic provider,
time,social media,
user datum,youtube,
written confirmation you give authorized agent permission submit request,we,"advertising, legal, security, services"
