data_type,collector,purpose
UNSPECIFIED_DATA,we,"advertising, analytics, security, services"
anonymized demographic datum from visitor,we,"advertising, analytics, security, services"
available information on third party,we,"advertising, analytics, security, services"
company name,we,"advertising, analytics, security, services"
cookie / pixel tag,we,"advertising, analytics, security, services"
datum you enter,we,"advertising, analytics, security, services"
email address,we,"advertising, analytics, security, services"
industry,we,"advertising, analytics, security, services"
ip address,we,"advertising, analytics, security, services"
minimal amount,support software provider,
minimal amount,we,"advertising, analytics, security, services"
number of employee,we,"advertising, analytics, security, services"
passive data collection,we,"advertising, analytics, security, services"
password,we,"advertising, analytics, security, services"
person name,we,"advertising, analytics, security, services"
phone number,we,"advertising, analytics, security, services"
postal address,we,"advertising, analytics, security, services"
precise geolocation,we,"advertising, analytics, security, services"
preference information,we,"advertising, analytics, security, services"
technical connection detail,we,"advertising, analytics, security, services"
title,we,"advertising, analytics, security, services"
url information,we,"advertising, analytics, security, services"
user name,we,"advertising, analytics, security, services"
zip code,we,"advertising, analytics, security, services"
