data_type,collector,purpose
UNSPECIFIED_DATA,primary administrator,
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services"
account datum,we,"advertising, analytics, legal, security, services"
account information,primary administrator,
account information,we,"advertising, analytics, legal, security, services"
datum about visitor to website,we,"advertising, analytics, legal, security, services"
default language information,we,"advertising, analytics, legal, security, services"
device datum,we,"advertising, analytics, legal, security, services"
email address,UNSPECIFIED_ACTOR,"advertising, analytics, services"
email address,we,"advertising, analytics, legal, security, services"
general update on account,we,"advertising, analytics, legal, security, services"
information about,we,"advertising, analytics, legal, security, services"
information about source refer you to we,we,"advertising, analytics, legal, security, services"
information about yourself,we,"advertising, analytics, legal, security, services"
information from third party,we,"advertising, analytics, legal, security, services"
level of usage of service,we,"advertising, analytics, legal, security, services"
log datum,we,"advertising, analytics, legal, security, services"
log file,web server,
multiple choice versus open text question,we,"advertising, analytics, legal, security, services"
page tag,UNSPECIFIED_ACTOR,"advertising, analytics, services"
page tag,we,"advertising, analytics, legal, security, services"
password,we,"advertising, analytics, legal, security, services"
person name,we,"advertising, analytics, legal, security, services"
personal information,we,"advertising, analytics, legal, security, services"
phone number,UNSPECIFIED_ACTOR,"advertising, analytics, services"
phone number,we,"advertising, analytics, legal, security, services"
question,we,"advertising, analytics, legal, security, services"
referral information,we,"advertising, analytics, legal, security, services"
respondent interaction,we,"advertising, analytics, legal, security, services"
response datum,we,"advertising, analytics, legal, security, services"
survey data,we,"advertising, analytics, legal, security, services"
survey form application datum,we,"advertising, analytics, legal, security, services"
survey response,publicinput.com,
usage information,we,"advertising, analytics, legal, security, services"
usage information about you,we,"advertising, analytics, legal, security, services"
usage pattern,we,"advertising, analytics, legal, security, services"
user preference,we,"advertising, analytics, legal, security, services"
username,we,"advertising, analytics, legal, security, services"
uuid for device,we,"advertising, analytics, legal, security, services"
