data_type,collector,purpose
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,
UNSPECIFIED_DATA,mindtickle,"legal, services"
UNSPECIFIED_DATA,sub,"legal, services"
UNSPECIFIED_DATA,we,
analytic datum,UNSPECIFIED_ACTOR,"analytics, services"
analytic datum,ai model,services
analytic datum,authority,
analytic datum,background verification service provider,"security, services"
analytic datum,business partner,"advertising, analytics, security, services"
analytic datum,co,advertising
analytic datum,mindtickle,"legal, services, advertising, analytics, security"
analytic datum,recruitment process management provider,"advertising, services"
analytic datum,we,"advertising, analytics, services"
analytic datum,we,"advertising, analytics, services, legal, security"
audio information,UNSPECIFIED_ACTOR,"analytics, services"
audio information,ai model,services
audio information,authority,
audio information,background verification service provider,"security, services"
audio information,business partner,"advertising, analytics, security, services"
audio information,co,advertising
audio information,mindtickle,"legal, services, advertising, analytics, security"
audio information,recruitment process management provider,"advertising, services"
audio information,we,
audio information,we,"advertising, analytics, services"
audio information,we,"advertising, analytics, services, legal, security"
audio video recording,UNSPECIFIED_ACTOR,"analytics, services"
audio video recording,ai model,services
audio video recording,authority,
audio video recording,background verification service provider,"security, services"
audio video recording,business partner,"advertising, analytics, security, services"
audio video recording,co,advertising
audio video recording,mindtickle,"legal, services, advertising, analytics, security"
audio video recording,recruitment process management provider,"advertising, services"
audio video recording,we,"advertising, analytics, services"
audio video recording,we,"advertising, analytics, services, legal, security"
average time spend,UNSPECIFIED_ACTOR,"analytics, services"
average time spend,ai model,services
average time spend,authority,
average time spend,background verification service provider,"security, services"
average time spend,business partner,"advertising, analytics, security, services"
average time spend,co,advertising
average time spend,mindtickle,"legal, services, advertising, analytics, security"
average time spend,recruitment process management provider,"advertising, services"
average time spend,we,"advertising, analytics, services"
average time spend,we,"advertising, analytics, services, legal, security"
bank account number,UNSPECIFIED_ACTOR,"analytics, services"
bank account number,ai model,services
bank account number,authority,
bank account number,background verification service provider,"security, services"
bank account number,business partner,"advertising, analytics, security, services"
bank account number,co,advertising
bank account number,mindtickle,"legal, services, advertising, analytics, security"
bank account number,recruitment process management provider,"advertising, services"
bank account number,we,"advertising, analytics, services"
bank account number,we,"advertising, analytics, services, legal, security"
browser version,we,
browser version,we,"advertising, analytics, services, legal"
business contact card you share,UNSPECIFIED_ACTOR,"analytics, services"
business contact card you share,ai model,services
business contact card you share,authority,
business contact card you share,background verification service provider,"security, services"
business contact card you share,business partner,"advertising, analytics, security, services"
business contact card you share,co,advertising
business contact card you share,mindtickle,"legal, services, advertising, analytics, security"
business contact card you share,recruitment process management provider,"advertising, services"
business contact card you share,we,"advertising, analytics, services"
business contact card you share,we,"advertising, analytics, services, legal, security"
collect personal information,mindtickle,"legal, services, advertising, analytics, security"
collect personal information,we,advertising
company name,UNSPECIFIED_ACTOR,"analytics, services"
company name,ai model,services
company name,authority,
company name,background verification service provider,"security, services"
company name,business partner,"advertising, analytics, security, services"
company name,co,advertising
company name,mindtickle,"legal, services, advertising, analytics, security"
company name,recruitment process management provider,"advertising, services"
company name,we,"advertising, analytics, services"
company name,we,"advertising, analytics, services, legal, security"
contact information,UNSPECIFIED_ACTOR,"analytics, services"
contact information,ai model,services
contact information,authority,
contact information,background verification service provider,"security, services"
contact information,business partner,"advertising, analytics, security, services"
contact information,co,advertising
contact information,mindtickle,"legal, services, advertising, analytics, security"
contact information,recruitment process management provider,"advertising, services"
contact information,we,"advertising, analytics, services"
contact information,we,"advertising, analytics, services, legal, security"
cookie / pixel tag,Adobe,"advertising, analytics"
cookie / pixel tag,Google,advertising
cookie / pixel tag,Mixpanel,
cookie / pixel tag,UNSPECIFIED_ACTOR,"analytics, services"
cookie / pixel tag,ai model,services
cookie / pixel tag,authority,
cookie / pixel tag,background verification service provider,"security, services"
cookie / pixel tag,business partner,"advertising, analytics, security, services"
cookie / pixel tag,co,advertising
cookie / pixel tag,freshdesk help system,"analytics, services"
cookie / pixel tag,hushly,"analytics, security, services"
cookie / pixel tag,mindtickle,"legal, services, advertising, analytics, security"
cookie / pixel tag,recruitment process management provider,"advertising, services"
cookie / pixel tag,we,"advertising, analytics, services"
cookie / pixel tag,we,"advertising, analytics, services, legal, security"
cookie / pixel tag,youtube,services
cookie / pixel tag,zoominfo.com service,services
cookie consent management provider,we,"advertising, analytics, services, legal, security"
country,UNSPECIFIED_ACTOR,"analytics, services"
country,ai model,services
country,authority,
country,background verification service provider,"security, services"
country,business partner,"advertising, analytics, security, services"
country,co,advertising
country,mindtickle,"legal, services, advertising, analytics, security"
country,recruitment process management provider,"advertising, services"
country,we,"advertising, analytics, services"
country,we,"advertising, analytics, services, legal, security"
customer relationship management provider,we,"advertising, analytics, services, legal, security"
datum share,ai model,
device identifier,we,"advertising, analytics, services"
device identifier,we,"advertising, analytics, services, legal"
device model type,we,"advertising, analytics, services, legal"
device type,we,"advertising, analytics, services"
email address,UNSPECIFIED_ACTOR,"analytics, services"
email address,ai model,services
email address,authority,
email address,background verification service provider,"security, services"
email address,business partner,"advertising, analytics, security, services"
email address,co,advertising
email address,mindtickle,"legal, services, advertising, analytics, security"
email address,recruitment process management provider,"advertising, services"
email address,we,"advertising, analytics, services"
email address,we,"advertising, analytics, services, legal, security"
financial information,UNSPECIFIED_ACTOR,"analytics, services"
financial information,ai model,services
financial information,authority,
financial information,background verification service provider,"security, services"
financial information,business partner,"advertising, analytics, security, services"
financial information,co,advertising
financial information,mindtickle,"legal, services, advertising, analytics, security"
