data_type,collector,purpose
UNSPECIFIED_DATA,government entity,"legal, security"
UNSPECIFIED_DATA,service providers,"legal, security"
UNSPECIFIED_DATA,we,"legal, security"
average time on site,we,"legal, security"
data require for,we,"legal, security"
date,we,"legal, security"
datum you provide to we,we,"legal, security"
information about website direct you to we,we,"legal, security"
name of internet service provider,we,"legal, security"
number,we,"legal, security"
personal datum collect during registration,we,"legal, security"
personal information,service providers,"legal, security, services"
personal information,we,"legal, security"
screen resolution,we,"legal, security"
transaction datum,we,"legal, security"
